"COUNTY","NAME","YEAR","h1b_activity","win_rate","shannon_index","hhi"
"37179","Union County, North Carolina",2017,1,0.181818181818182,4.40754585981333,199.950771129297
"37179","Union County, North Carolina",2018,1,0.181818181818182,4.39220090077577,203.823070518176
"37179","Union County, North Carolina",2019,1,0.181818181818182,4.37447840826956,206.493545311655
"37179","Union County, North Carolina",2020,1,0.181818181818182,4.38804014201515,203.337823412917
"37179","Union County, North Carolina",2021,1,0.181818181818182,4.37438793094916,208.908658699664
"37179","Union County, North Carolina",2022,1,0.181818181818182,4.37081762392664,207.928680217816
"37183","Wake County, North Carolina",2012,1,0.707542804257288,4.54869043164926,179.671713180507
"37183","Wake County, North Carolina",2013,1,0.707542804257288,4.5400618279019,181.621113339833
"37183","Wake County, North Carolina",2014,1,0.707542804257288,4.54003141654631,180.942763008392
"37183","Wake County, North Carolina",2015,1,0.707542804257288,4.53279547475272,182.426547533764
"37183","Wake County, North Carolina",2016,1,0.707542804257288,4.52432772931538,182.919526028725
"37183","Wake County, North Carolina",2017,1,0.707542804257288,4.49919648104693,184.825494417924
"37183","Wake County, North Carolina",2018,1,0.707542804257288,4.48511082449918,187.708562545594
"37183","Wake County, North Carolina",2019,1,0.707542804257288,4.48837021527083,186.6521028646
"37183","Wake County, North Carolina",2020,1,0.707542804257288,4.48528306985546,186.457223461236
"37183","Wake County, North Carolina",2021,1,0.707542804257288,4.47411901519144,187.07295574945
"37183","Wake County, North Carolina",2022,1,0.707542804257288,4.46915519110546,190.402394821445
"38017","Cass County, North Dakota",2012,1,0.407407407407407,4.65654071787822,145.916534675436
"38017","Cass County, North Dakota",2013,1,0.407407407407407,4.66491790284367,143.482200693492
"38017","Cass County, North Dakota",2014,1,0.407407407407407,4.66267402550777,144.024686459918
"38017","Cass County, North Dakota",2015,1,0.407407407407407,4.65383261760361,146.769546018603
"38017","Cass County, North Dakota",2016,1,0.407407407407407,4.64405916493599,148.551204459844
"38017","Cass County, North Dakota",2017,1,0.407407407407407,4.57142902432887,156.041377940779
"38017","Cass County, North Dakota",2018,1,0.407407407407407,4.56241286597257,158.093884297521
"38017","Cass County, North Dakota",2019,1,0.407407407407407,4.55409544829868,160.960720315344
"38017","Cass County, North Dakota",2020,1,0.407407407407407,4.56294677265404,157.785080664927
"38017","Cass County, North Dakota",2021,1,0.407407407407407,4.55162793825599,159.782460288705
"38017","Cass County, North Dakota",2022,1,0.407407407407407,4.55275253794909,160.73545867187
"39017","Butler County, Ohio",2012,1,0.271428571428571,4.67318298198738,162.594423653725
"39017","Butler County, Ohio",2013,1,0.271428571428571,4.66142927280222,165.598863266043
"39017","Butler County, Ohio",2014,1,0.271428571428571,4.66061690647492,167.226529841792
"39017","Butler County, Ohio",2015,1,0.271428571428571,4.66688812466913,165.371784889785
"39017","Butler County, Ohio",2016,1,0.271428571428571,4.66344463309457,166.325922742135
"39017","Butler County, Ohio",2017,1,0.271428571428571,4.60773085179656,172.438295646782
"39017","Butler County, Ohio",2018,1,0.271428571428571,4.60053230756036,174.140109832583
